,Q1,Q2,Q3,Q4
1360,1,1,1,1
1361,2,1,1,1
1362,2,2,2,1
1363,4,3,3,2
1364,3,2,2,1
1365,2,3,2,1
1366,5,4,3,2
1367,5,4,2,2
1368,3,3,2,1
1369,2,3,2,1
1370,3,2,2,1
1371,4,5,3,2
1372,3,2,2,1
1373,4,4,2,2
1374,4,3,3,2
1375,2,2,2,1
1376,2,2,1,1
1377,5,4,3,2
1378,3,2,2,1
1379,1,1,1,1
1380,3,2,2,1
1381,3,2,2,1
1382,5,4,3,3
1383,2,3,2,3
1384,3,3,2,2
1385,5,4,3,3
1386,5,5,4,3
1387,5,4,3,2
1388,3,3,2,2
1389,2,2,1,1
1390,4,3,2,2
1391,2,2,1,1
1392,5,5,4,2
1393,2,2,1,1
1394,2,3,2,1
1395,2,3,2,1
1396,6,3,2,1
1397,2,3,2,1
1398,5,5,4,3
1399,5,5,3,2
1400,3,3,2,2
1401,5,5,4,3
1402,3,4,2,2
1403,5,4,3,2
1404,2,2,1,1
1405,3,2,2,1
1406,5,6,4,3
1407,4,3,2,2
1408,2,3,1,1
1409,2,2,1,1
1410,2,2,1,1
1411,2,3,2,1
1412,3,3,2,2
1413,3,2,2,1
1414,3,2,1,1
1415,4,3,2,1
1416,3,3,2,2
1417,3,3,2,2
1418,4,4,4,3
1419,2,2,1,1
1420,2,2,1,1
1421,1,1,1,1
1422,2,2,2,1
1423,3,2,2,2
1424,3,3,2,1
1425,3,2,2,2
1426,3,2,2,1
1427,5,4,3,2
1428,3,3,2,2
1429,3,3,2,2
1430,3,2,2,1
1431,4,3,2,2
1432,3,4,2,2
1433,5,4,3,2
1434,3,4,2,2
1435,5,3,2,1
1436,6,5,4,5
1437,4,3,2,1
1438,4,3,2,2
1439,3,2,1,1
1440,3,2,1,1
1441,3,3,2,2
1442,2,1,1,1
1443,6,5,4,3
1444,5,5,4,3
1445,2,2,2,2
1446,2,2,2,1
1447,1,1,1,1
1448,4,3,2,1
1449,3,2,2,1
1450,4,4,3,3
1451,2,2,1,1
1452,2,3,1,1
1453,3,3,2,2
1454,3,2,2,1
1455,3,2,2,1
1456,4,3,2,2
1457,2,3,2,2
1458,3,4,2,2
1459,6,5,4,3
1460,1,1,1,1
1461,5,4,3,2
1462,1,1,1,1
1463,4,3,2,2
1464,4,5,3,2
1465,2,3,2,1
1466,2,2,1,1
1467,4,3,2,2
1468,1,1,1,1
1469,3,2,2,1
1470,3,3,2,2
1471,3,3,2,2
1472,5,5,3,2
1473,3,2,2,1
1474,3,2,1,1
1475,2,3,2,1
1476,5,4,3,2
1477,2,3,1,1
1478,5,3,2,2
1479,5,5,3,2
1480,5,4,2,3
1481,2,2,1,1
1482,3,2,1,1
1483,3,3,2,1
1484,3,2,1,1
1485,2,2,1,1
1486,2,2,1,1
1487,3,2,2,2
1488,5,4,3,2
1489,2,1,1,1
1490,2,2,1,1
1491,1,1,1,1
1492,3,2,2,2
1493,3,3,2,2
1494,2,2,1,1
1495,2,3,2,1
1496,3,3,2,1
1497,1,2,1,1
1498,3,2,2,1
1499,3,4,2,1
1500,6,6,5,4
1501,2,2,1,1
1502,3,2,1,1
1503,4,3,2,2
1504,2,2,1,1
1505,3,3,2,2
1506,3,2,2,1
1507,2,2,1,1
1508,3,3,2,2
1509,3,3,2,2
1510,6,5,4,3
