index,Q1,Q2,Q3,Q4
1360,3,3,2,2
1361,3,4,2,2
1362,3,3,2,2
1363,4,3,2,3
1364,3,3,2,2
1365,3,3,2,2
1366,3,3,2,2
1367,3,3,2,2
1368,3,3,2,2
1369,3,3,2,2
1370,3,2,2,2
1371,3,2,2,2
1372,3,3,2,2
1373,3,2,2,2
1374,3,4,2,2
1375,3,3,2,2
1376,3,2,2,2
1377,3,4,3,2
1378,3,2,2,2
1379,3,3,2,2
1380,3,4,2,2
1381,3,4,3,2
1382,3,3,2,2
1383,4,3,2,2
1384,3,4,2,3
1385,3,3,2,2
1386,3,2,2,1
1387,3,2,2,2
1388,3,4,2,2
1389,3,3,2,2
1390,3,2,3,2
1391,3,4,2,2
1392,3,2,2,1
1393,3,4,3,2
1394,3,4,2,2
1395,3,3,2,2
1396,3,3,2,2
1397,3,3,2,2
1398,3,4,2,3
1399,3,3,2,2
1400,3,4,3,2
1401,3,3,2,2
1402,3,4,3,2
1403,3,2,2,2
1404,3,4,2,2
1405,3,3,2,2
1406,3,4,2,2
1407,3,3,2,2
1408,3,2,2,2
1409,3,2,2,2
1410,4,3,3,2
1411,3,3,2,2
1412,3,2,2,1
1413,3,4,2,2
1414,3,4,3,2
1415,3,3,2,2
1416,3,3,2,2
1417,3,2,2,2
1418,3,3,2,2
1419,3,2,2,2
1420,4,3,3,2
1421,3,2,2,2
1422,3,2,2,2
1423,3,4,2,2
1424,3,4,2,2
1425,3,3,2,2
1426,3,3,2,2
1427,3,3,2,2
1428,3,3,2,2
1429,3,4,2,2
1430,3,4,3,2
1431,3,2,2,2
1432,4,3,3,2
1433,3,3,2,2
1434,4,3,2,2
1435,4,3,2,2
1436,3,3,2,2
1437,3,3,2,2
1438,3,3,2,2
1439,3,2,2,2
1440,3,3,2,2
1441,3,4,2,2
1442,3,3,2,2
1443,4,3,2,2
1444,3,3,2,2
1445,3,3,2,2
1446,3,3,2,2
1447,3,3,2,2
1448,3,4,3,2
1449,4,3,2,2
1450,3,2,2,2
1451,3,2,2,2
1452,4,3,2,2
1453,3,3,2,2
1454,3,4,2,2
1455,3,3,2,2
1456,3,2,2,2
1457,3,2,2,2
1458,3,2,2,2
1459,4,3,2,3
1460,3,3,2,2
1461,3,3,2,2
1462,3,2,2,2
1463,3,4,2,2
1464,3,2,2,2
1465,3,2,2,2
1466,3,3,2,2
1467,3,3,2,2
1468,3,3,2,2
1469,3,2,2,2
1470,3,3,2,2
1471,3,3,2,2
1472,3,2,2,2
1473,3,3,2,2
1474,3,3,2,2
1475,3,3,2,2
1476,3,3,2,2
1477,4,3,2,2
1478,3,2,2,2
1479,4,3,2,2
1480,3,3,2,2
1481,3,3,2,2
1482,3,3,2,2
1483,4,3,3,2
1484,3,3,2,2
1485,3,4,3,2
1486,3,3,2,2
1487,4,3,2,2
1488,3,3,2,2
1489,3,3,2,2
1490,3,2,2,2
1491,4,3,2,2
1492,3,4,2,3
1493,3,2,2,1
1494,3,3,2,2
1495,3,4,2,2
1496,3,3,2,2
1497,3,4,2,2
1498,3,3,2,2
1499,3,2,2,2
1500,4,3,3,2
1501,3,3,2,2
1502,3,3,2,2
1503,3,2,2,2
1504,3,2,2,2
1505,3,2,2,2
1506,4,3,2,2
1507,3,3,2,2
1508,3,3,2,2
1509,3,3,2,2
1510,3,3,2,2
